Site;ProfileName;part;I;erosion;yearMax
Morteratsch;S1;0.00009047;1.2;0.000091;138
Morteratsch;S2;0.00007636;1.2;0.000109;128
Morteratsch;S3;0.00006142;1.4;0.000091;108
Morteratsch;S4;0.00017928;1.5;0.000091;98
Morteratsch;S5;0.00003735;1.6;0.000091;68
Morteratsch;S6;0.00012782;1.5;0.000109;48
Morteratsch;S7;0.00011371;1.6;0.000109;48
Morteratsch;S8;0.00007221;1.6;0.000091;58
Morteratsch;S9;0.00009711;1.6;0.000091;73
Morteratsch;S10;0.00009379;1.6;0.000091;78
Morteratsch;AS19;0.0000996;1.4;0.000091;35
Morteratsch;AS20;0.0000996;1.4;0.000136;35
Morteratsch;AS21;0.0000996;1.4;0.000136;35
Morteratsch;AS22;0.0000996;1.3;0.000227;30
Morteratsch;AS23;0.0000996;1.2;0.000227;30
Morteratsch;AS24;0.0000996;1.4;0.000318;20
Morteratsch;AS28;0.0000996;1.6;0.000455;3
Morteratsch;AS29;0.0000996;1.5;0.000455;3
Morteratsch;M1;0.0000332;1.5;0.000091;140
Morteratsch;M2;0.00007636;1.5;0.0001;120
Morteratsch;M3;0.00006142;1.5;0.000091;100
Morteratsch;M4;0.0001245;1.5;0.000109;80
Morteratsch;M5;0.00009296;1.5;0.000109;70
Morteratsch;M6;0.00012699;1.4;0.000145;60
Morteratsch;M7;0.0001328;1.6;0.000255;30
Morteratsch;M8;0.00011288;1.6;0.000255;30
Morteratsch;M9;0.00008466;1.5;0.000318;20
Morteratsch;A;0.0001162;1.2;0.000109;140
Morteratsch;AP;0.00005976;1.1;0.000045;12460
Morteratsch;AC;0.00002988;0.9;0.00003;1300
Gletsch;Gl 1;0.0000913;3.4;0.000118;150
Gletsch;Gl 2;0.00009794;3.3;0.000073;260
Gletsch;Gl 3;0.00010126;3.2;0.000073;300
Gletsch;Gl 4;0.00010458;3.2;0.000045;450
Gletsch;Gl 5;0.00010541;3.2;0.000045;700
Gletsch;Gl 6;0.00010541;3.1;0.000032;3000
Gletsch;Gl 7;0.00010624;3.1;0.000029;10500
Schmadri;Sa;0.00007885;3.1;0.000035;3300
Schmadri;Sb;0.00007885;3.1;0.000015;11500
ValMulix;S1;0.00006889;1.4;0.000036;14900
ValMulix;S2;0.00006889;1.6;0.000058;10000
ValMulix;S3;0.0000664;1.6;0.000044;10700
ValMulix;S4;0.00006806;1.6;0.000044;9600
ValMulix;S5;0.00006806;1.6;0.000043;8600
Val_di_Rabbi;S1;0.00003901;1.4;0.000035;17311
Val_di_Rabbi;S2;0.00005976;1.3;0.000074;11106
Val_di_Rabbi;S3;0.00003569;1.7;0.000015;10754
Val_di_Rabbi;S4;0.00007968;1.7;0.000029;8860
Val_di_Rabbi;S5;0.00003652;1.3;0.000044;10837
Val_di_Rabbi;S6;0.00002822;1.4;0.000037;4729
Val_di_Rabbi;S7;0.0000332;1.4;0.00005;5452
Val_di_Rabbi;S8;0.00003901;1.7;0.000043;9203
Val_di_Rabbi;S9;0.00003071;1.7;0.000015;11197
Meggerwald;Podzol;0.00003154;1.110526316;0.000014;19200
Meggerwald;Cambisol;0.00003735;1.110526316;0.000014;19200
LysGlacier;A2;0.00011371;1.8;0.000182;64
LysGlacier;A3;0.00010956;1.9;0.000182;64
LysGlacier;A4;0.00009877;1.6;0.000109;193
LysGlacier;A5;0.00013363;1.6;0.000091;259
LysGlacier;A6;0.00008798;1.5;0.000044;11000
BigfootLake ;BFL9;0.00009545;1;0.000164;150
BigfootLake ;BFL7;0.00004233;1;0.000044;9930
BigfootLake ;BFL 6;0.00003984;1;0.000044;9930
BigfootLake ;BFL5;0.00005644;1;0.00003;12930
BigfootLake ;BFL4;0.00005561;1;0.00003;12930
BigfootLake ;BFL3;0.00005312;1;0.000029;14500
BigfootLake ;BFL2;0.00004316;1;0.000029;14500
BigfootLake ;BFL1;0.00004399;1;0.000029;14500
StoughCreekBasin;SCB1;0.00003154;0.9;0.000029;16000
StoughCreekBasin;SCB2;0.00005976;1;0.000029;14500
StoughCreekBasin;SCB3;0.00004731;1;0.000029;14500
StoughCreekBasin;SCB4;0.00003818;1;0.000029;14500
StoughCreekBasin;SCB5;0.00004814;1;0.000029;14500
StoughCreekBasin;SCB6;0.00002158;1;0.000044;9930
StoughCreekBasin;SCB7;0.00005644;1;0.000044;9930
StoughCreekBasin;SCB8;0.0000415;1;0.00003;12930
StoughCreekBasin;SCB9;0.00005146;1;0.00003;12930
StoughCreekBasin;SCB10;0.00003984;1.138181818;0.000027;16000
StoughCreekBasin;SCB11;0.00004565;1;0.000029;14500
StoughCreekBasin;SCB12;0.00007387;1;0.000038;1500
StoughCreekBasin;LC1;0.00003403;0.9;0.000029;16000
StoughCreekBasin;WL1;0.00006557;0.9;0.000029;16000
StoughCreekBasin;IL1;0.00003237;1;0.000044;12930
RoaringForkPass;RFP1;0.00002075;1.138181818;0.000046;16000
RoaringForkPass;RFP2;0.00003154;1.138181818;0.000046;16000
Pinedale_BullLake_Sacagawea;PAF-1;0.00006972;0.5;0.000046;22000
Pinedale_BullLake_Sacagawea;PAF-2;0.00005478;0.5;0.000046;22000
Pinedale_BullLake_Sacagawea;G-1;0.00003652;0.43;0.000018;130000
Pinedale_BullLake_Sacagawea;G-2;0.00004897;0.42328125;0.000016;630000
Pinedale_BullLake_Sacagawea;G-3;0.0000332;0.43;0.000018;130000
Pinedale_BullLake_Sacagawea;G-5;0.0000498;0.421538462;0.000024;65000
Pinedale_BullLake_Sacagawea;G-7;0.00005146;0.421538462;0.000024;65000
Pinedale_BullLake_Sacagawea;G-8;0.0000415;0.363636364;0.000031;22000
Pinedale_BullLake_Sacagawea;SC-1;0.00002905;0.329384616;0.000028;65000
Pinedale_BullLake_Sacagawea;SC-2;0.00002822;0.267272728;0.000046;22000
Pinedale_BullLake_Sacagawea;HR-1;0.00007387;0.17090909;0.000019;630000
Pinedale_BullLake_Sacagawea;HR-2;0.00005312;0.184;0.000021;130000
Pinedale_BullLake_Sacagawea;WD-1;0.00002656;0.178338462;0.000019;850000
PetesLakeRoad;PLR1;0.00003569;0.523;0.000021;130000
PetesLakeRoad;PLR2;0.00005063;0.5;0.000046;22000
FairfieldCreek;FC 6;0.00005395;0.421538462;0.000024;65000
FairfieldCreek;FC5;0.00004814;0.421538462;0.000024;65000
FairfieldCreek;FC-4;0.00007387;0.421538462;0.000031;22000
FairfieldCreek;FC 3;0.00006889;0.421538462;0.000024;65000
FairfieldCreek;FC2;0.00003901;0.42328125;0.000013;630000
FairfieldCreek;FC 1;0.0000498;0.422;0.000019;130000
DeerSpring;DS1;0.0000249;0.321058824;0.000012;850000
TableMountain;TM-1;0.00007055;0.328952942;0.000012;1200000
AliceLake;P1;0.00007138;1;0.000255;11846
TempleLake;P2;0.00004067;1.1;0.000177;15550
LonesomeLake;P3;0.0000498;1.2;0.000127;15760
PopoAgie;RCT2;0.00001577;0.1311;0.000026;20000
PopoAgie;RCT3;0.00002739;0.10235625;0.000013;160000
PopoAgie;RCT4;0.00002656;0.104446154;0.000014;260000
PopoAgie;RCT5;0.00003569;0.101222728;0.000012;660000
PopoAgie;LWS-13-1;0.00002656;0.1300875;0.000013;160000
PopoAgie;SB;0.0000332;0.104446154;0.000014;260000
PopoAgie;PB-13-1;0.00003901;0.13;0.000025;5000
PopoAgie;GalPD;0.00002573;0.1311;0.000026;20000
PopoAgie;GR-13-1;0.00004482;0.10235625;0.000013;160000
PopoAgie;GR-13-2;0.00004648;0.104446154;0.000013;260000
PopoAgie;PB-13-2;0.00004399;0.101222728;0.000012;660000
SichuanChina;Profile2;0.00008383;3.298;0.000227;39
SichuanChina;Profile3;0.00006225;3.198;0.000164;70
SichuanChina;Profile4;0.00008383;3.198;0.000155;98
SichuanChina;Profile5;0.00011869;3.098;0.000127;130
SichuanChina;Profile6;0.00012367;2.998;0.000109;159
SichuanChina;Profile7;0.0000747;2.698;0.0001;183
Peru;J1;0.0000166;2.152631578;0.000045;18919
Peru;J2;0.00001162;2.152631578;0.000045;18919
Peru;J3;0.00001079;2.04117647;0.000045;17185
Peru;J4;0.00001743;1.6;0.000045;12250
Peru;U1;0.00000664;2.2;0.000045;45900
Peru;U2;0.00000913;2.04117647;0.000045;17073
Peru;U3;0.00001826;2.04117647;0.000045;17073
Peru;U4;0.0000166;2.04117647;0.000045;17073
Peru;U5;0.00000913;2.2;0.000109;2970
Peru;U6;0.0000166;2.2;0.000109;2970
Peru;U7;0.00001743;2.2;0.000091;2970
Peru;U8;0.00002822;2.2;0.000127;398
Peru;M1;0.00001245;2.152631578;0.000045;18919
Peru;Q1;0.00002158;1.948;0.000045;25460
Peru;Q2;0.00001909;2.1;0.000045;17554
Peru;Q3;0.00004482;1.814285714;0.000045;14381
Peru;Q4;0.00002407;1.6;0.000045;12764
SilaItaly;Sila_I;0.00005395;1.224615384;0.000121;51600
SilaItaly;Sila_II;0.00005395;1.224615384;0.000124;46600
